id, Name, Lat, Lon
chicago, University of Chicago,41.789722, -87.599722 
vub,Vrije Universiteit Brussels,50.8242411,4.395294
ulb,Université Libre de Bruxelles, 50.8196322,4.3966566
ghent,Ghent University, 51.0246858,3.7231496
psu,Pennsylvania State University,40.7978962,-77.8610035
osu,The Ohio State University,40.002928,-83.0135482
uw,University of Wisconsin-Madison,43.073947,-89.4105202
ku,University of Kansas,38.9572252,-95.2489125
del,University of Delaware,39.6771622,-75.7510176
desy,DESY-Zeuthen, 52.3456026,13.6330219
erlangen,FAU-Erlangen,49.585436237235726,11.028659280466124
uppsala,Uppsala University,59.83855789999999,17.628985399999998
whittier,Whittier College,33.9780515,-118.0304108
nebraska,University of Nebraska-Lincoln,40.8201966,-96.702665
alabama,University of Alabama,33.2115452,-87.5405839
runl,Radboud University,51.8202895,5.8645153
umd,University of Maryland,38.3869183,-76.9425543
wuppertal,Bergische Universität Wuppertal,51.2453,7.14944
